"Index","Menge","Teilenummer","Hersteller-Teilenummer","Beschreibung","Kundenreferenz","Verfügbar","Lieferrückstände","Stückpreis","Gesamtpreis EUR"
"1","1","WM17141CT-ND","0473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J1","1","0","0,80000","0,80"
"2","1","296-LMZM23601V5SILRCT-ND","LMZM23601V5SILR","DC DC CONVERTER 5V","U5","1","0","4,07000","4,07"
"3","1","296-51381-1-ND","LMZM23601V3SILR","DC DC CONVERTER 3.3V","U3","1","0","4,53000","4,53"
"4","2","PTS647SK38SMTR2LFSCT-ND","PTS 647 SK38 SMTR2 LFS","TACT 4.5 X 4.5, 3.8 MM H, 2.5N,","S1, 2","2","0","0,10000","0,20"
"5","3","399-8004-1-ND","C0805C105K3RACTU","CAP CER 1UF 25V X7R 0805","C6, 7, 8","3","0","0,11000","0,33"
"6","2","399-7029-1-ND","C1206C475K3RACAUTO","CAP CER 4.7UF 25V X7R 1206","C1, 2","2","0","0,25000","0,50"
"7","4","399-8153-1-ND","C1206C106M3PACTU","CAP CER 10UF 25V X5R 1206","C5, 10, 12, 13","4","0","0,23000","0,92"
"8","2","399-4961-1-ND","C1210C476M9PACTU","CAP CER 47UF 6.3V X5R 1210","C9, 11","2","0","0,46000","0,92"
"9","1","F2715CT-ND","SP0503BAHTG","TVS DIODE 5.5V 8.5V SOT143-4","D1","1","0","0,68000","0,68"
"10","1","1N5819HW1-7-FDICT-ND","1N5819HW1-7-F","DIODE SBR 40V 1A SOD123F","D2","1","0","0,39000","0,39"
"11","1","455-1706-ND","B4B-PH-K-S(LF)(SN)","CONN HEADER VERT 4POS 2MM","J4","1","0","0,20000","0,20"
"12","1","311-22.0KHRCT-ND","RC0603FR-0722KL","RES SMD 22K OHM 1% 1/10W 0603","R1","1","0","0,08000","0,08"
"13","2","RNCP1206FTD47K5CT-ND","RNCP1206FTD47K5","RES 47.5K OHM 1% 1/2W 1206","R2, 5","2","0","0,08000","0,16"
"14","2","RNCP1206FTD1K00CT-ND","RNCP1206FTD1K00","RES 1K OHM 1% 1/2W 1206","R3, 4","2","0","0,08000","0,16"
"15","1","RNCP1206FTD2K49CT-ND","RNCP1206FTD2K49","RES 2.49K OHM 1% 1/2W 1206","R6","1","0","0,08000","0,08"
"16","10","RNCP1206FTD10K0CT-ND","RNCP1206FTD10K0","RES 10K OHM 1% 1/2W 1206","R7 - 14","10","0","0,06800","0,68"
"17","1","336-5888-1-ND","CP2102N-A02-GQFN24R","IC USB TO UART BRIDGE QFN24","U1","1","0","1,14000","1,14"
"18","1","497-18060-1-ND","STUSB4500QTR","IC USB CONTROLLER I2C 24QFN","U2","1","0","1,79000","1,79"
"19","1","553-3195-1-ND","E8124-015-01","CONN RCP USB3.1 TYPEC 24P SMD RA","J2","1","0","2,48000","2,48"
"20","2","478-11502-1-ND","0402YC104JAT4A","CAP CER 0.1UF 16V X7R 0402","C3, 4","2","0","0,08000","0,16"
